id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply
bitcoin,btc,Bitcoin,7586086,1.52343E+14,1,2.83444E+12,7559818,7315869,2.60476,"2,00,84,256.00"
ethereum,eth,Ethereum,243291,2.96912E+13,2,1.32199E+12,242644,236195,1.50454,"12,20,47,243.49"
tether,usdt,Tether,95.7,1.7554E+13,3,5.10536E+12,95.7,95.66,0.1774,"1,83,43,09,92,297.90"
binancecoin,bnb,BNB,69654,9.27542E+12,4,89961103247.00,69614,68362,1.08868,"13,31,60,851.92"
ripple,xrp,XRP,141.18,8.87876E+12,5,3.2069E+11,137.66,127.82,8.80886,"62,87,92,09,849.00"
usd-coin,usdc,USDC,95.7,7.09976E+12,6,1.52377E+12,95.71,95.68,0.16446,"74,18,85,01,473.48"
solana,sol,Solana,9923.85,5.82461E+12,7,2.96989E+11,9878.85,9477.93,2.61697,"58,68,92,526.90"
tron,trx,TRON,32.61,3.09583E+12,8,39626764676.00,32.74,32.32,-0.07108,"94,95,01,26,534.62"
figure-heloc,figr_heloc,Figure Heloc,99.78,2.25084E+12,9,1648240112.00,100.31,96.3,,"22,55,80,08,629.27"
zcash,zec,Zcash,113938,1.92875E+12,10,1.21654E+11,110572,100358,7.26358,"1,69,30,431.42"
hyperliquid,hype,Hyperliquid,7838.74,1.74393E+12,11,77474828381.00,7775.79,7370.09,4.56119,"22,24,45,714.07"
dogecoin,doge,Dogecoin,8.16,1.27211E+12,12,60361481558.00,8.13,7.85,0.96598,"1,55,91,52,66,383.71"
rain,rain,Rain,1.38,9.76195E+11,13,3025360479.00,1.47,1.37,-6.27508,"7,09,21,98,80,769.62"
usds,usds,USDS,95.7,9.42328E+11,14,10609137146.00,95.7,95.66,0.17082,"9,84,70,74,121.52"
monero,xmr,Monero,49219,9.25592E+11,15,12720745077.00,51158,48132,-3.28457,"1,88,04,629.02"
whitebit,wbt,WhiteBIT Coin,7844.43,9.25117E+11,16,11241933346.00,7816.6,7583.87,2.25381,"11,78,82,016.00"
chainlink,link,Chainlink,1120.78,8.38375E+11,17,37401304219.00,1112.94,1066.13,2.46149,"74,80,99,970.43"
leo-token,leo,LEO Token,861.26,7.92238E+11,18,14088704.00,868.75,856.46,-0.42125,"91,98,57,851.90"
cardano,ada,Cardano,20.52,7.69581E+11,19,39570489328.00,20.33,19.37,2.5132,"37,51,67,25,700.18"
stellar,xlm,Stellar,18.66,6.4945E+11,20,29973463868.00,18.83,16.89,8.51117,"34,83,37,54,748.61"
